order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
1,2023-12-08T13:46:52Z,2023-12-08,51073,3741,Franchise,Credit Card,COUPON044,6.59,USD
2,2023-06-07T21:17:50Z,2023-06-07,70796,2738,Franchise,Credit Card,COUPON012,41.13,EUR
3,2023-01-12T23:11:04Z,2023-01-12,9177,3344,Retail,Cash,COUPON038,41.88,AUD
4,2023-01-17T11:49:25Z,2023-01-17,10021,1025,Retail,Cash,COUPON021,9.59,AUD
5,2024-06-10T17:12:55Z,2024-06-10,45100,2854,Retail,Cash,COUPON003,37.31,USD
6,2024-04-21T23:21:42Z,2024-04-21,8214,870,Online,Afterpay,COUPON025,4.63,AUD
7,2024-08-28T10:19:02Z,2024-08-28,52926,185,Retail,Cash,COUPON004,32.02,EUR
8,2024-05-06T04:51:37Z,2024-05-06,63487,961,Franchise,Cash,COUPON009,5.35,AUD
9,2023-10-16T18:20:31Z,2023-10-16,30670,404,Online,Credit Card,COUPON049,15.25,USD
10,2024-04-26T19:05:28Z,2024-04-26,21531,3310,Franchise,Credit Card,COUPON023,12.16,USD
11,2024-05-02T04:52:59Z,2024-05-02,46535,2825,Online,Gift Card,COUPON012,47.60,USD
12,2024-05-30T12:51:00Z,2024-05-30,77721,2408,Retail,Cash,COUPON006,18.45,AUD
13,2023-05-25T11:36:52Z,2023-05-25,54420,3520,Online,Afterpay,COUPON034,6.16,EUR
14,2024-03-21T23:32:38Z,2024-03-21,25864,3398,Retail,Cash,COUPON044,13.60,USD
15,2023-06-01T04:53:11Z,2023-06-01,3776,3538,Online,PayPal,COUPON045,35.30,EUR
16,2023-08-12T08:34:33Z,2023-08-12,27731,2581,Retail,PayPal,COUPON038,34.28,USD
17,2023-08-19T00:56:23Z,2023-08-19,22344,1765,Retail,Cash,COUPON048,16.74,AUD
18,2024-04-23T04:46:57Z,2024-04-23,700,903,Retail,Gift Card,COUPON032,25.89,AUD
19,2024-05-17T19:10:12Z,2024-05-17,14289,4719,Retail,Gift Card,COUPON010,46.43,EUR
20,2024-07-04T14:49:51Z,2024-07-04,88165,5556,Online,Afterpay,COUPON010,26.11,USD
21,2024-03-29T10:36:45Z,2024-03-29,10042,2174,Retail,Afterpay,COUPON025,8.13,EUR
22,2023-05-08T02:12:08Z,2023-05-08,16730,4018,Online,Afterpay,COUPON007,8.05,USD
23,2024-07-04T20:59:24Z,2024-07-04,42812,354,Franchise,Credit Card,COUPON015,32.74,USD
24,2024-02-18T17:53:58Z,2024-02-18,34485,1556,Franchise,PayPal,COUPON028,12.73,EUR
25,2024-01-26T10:43:53Z,2024-01-26,12016,3093,Franchise,Cash,COUPON012,16.16,USD
26,2024-04-18T16:42:08Z,2024-04-18,61701,2644,Franchise,PayPal,COUPON005,39.22,AUD
27,2024-06-28T04:24:31Z,2024-06-28,71698,150,Retail,Credit Card,COUPON034,38.58,EUR
28,2024-01-09T05:38:43Z,2024-01-09,76590,3066,Retail,PayPal,,6.10,AUD
29,2023-02-26T17:22:10Z,2023-02-26,29572,1207,Franchise,PayPal,COUPON039,15.40,EUR
30,2024-01-12T14:40:45Z,2024-01-12,14688,2096,Retail,Afterpay,COUPON015,2.23,EUR
31,2023-07-12T12:43:23Z,2023-07-12,46963,4605,Online,Gift Card,COUPON014,33.47,USD
32,2023-02-03T23:32:57Z,2023-02-03,71411,2341,Franchise,Cash,COUPON031,44.68,AUD
33,2023-02-09T10:36:30Z,2023-02-09,5753,1598,Franchise,Credit Card,COUPON043,24.87,EUR
34,2023-12-11T02:21:20Z,2023-12-11,48804,4769,Online,Afterpay,COUPON014,36.86,AUD
35,2024-03-23T22:46:39Z,2024-03-23,8167,3072,Online,Afterpay,COUPON039,14.42,EUR
36,2023-01-17T00:03:10Z,2023-01-17,79592,4521,Retail,Cash,COUPON038,18.91,EUR
37,2024-03-05T13:16:44Z,2024-03-05,76313,1161,Retail,Afterpay,COUPON032,16.75,USD
38,2024-03-16T07:44:01Z,2024-03-16,78152,438,Retail,Credit Card,COUPON010,1.78,AUD
39,2024-04-22T04:11:00Z,2024-04-22,71959,1674,Online,PayPal,COUPON036,41.93,EUR
40,2023-05-18T06:11:28Z,2023-05-18,486,4915,Retail,Cash,COUPON049,10.74,EUR
41,2023-06-06T05:41:00Z,2023-06-06,75494,984,Franchise,Credit Card,COUPON023,4.35,AUD
42,2023-03-30T14:44:51Z,2023-03-30,36061,2402,Franchise,PayPal,COUPON003,34.90,AUD
43,2024-04-13T06:18:39Z,2024-04-13,32012,1102,Franchise,Afterpay,COUPON041,5.98,EUR
44,2024-06-06T23:33:25Z,2024-06-06,38334,3661,Retail,PayPal,COUPON003,39.91,AUD
45,2023-07-05T01:30:25Z,2023-07-05,61890,34,Franchise,Credit Card,COUPON032,3.73,USD
46,2024-02-13T04:14:32Z,2024-02-13,52348,1476,Retail,Cash,COUPON025,41.86,USD
47,2024-07-27T05:50:07Z,2024-07-27,74653,4140,Online,Gift Card,COUPON002,6.95,USD
48,2023-02-09T20:22:48Z,2023-02-09,60419,1109,Retail,Gift Card,COUPON009,9.86,USD
49,2023-10-03T12:22:51Z,2023-10-03,43527,1122,Franchise,Gift Card,COUPON005,13.26,AUD
50,2024-09-05T13:11:33Z,2024-09-05,929,2582,Franchise,Credit Card,COUPON015,5.13,AUD
