order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
8662,4,152,8,1125.1444,0.1482,0.1214
9120,5,221,5,760.0742,0.3247,0.1629
7843,4,172,4,1502.9291,0.0710,0.0814
2019,3,160,5,1243.0740,0.3725,0.0368
3741,7,233,10,1752.6142,0.3462,0.2376
1312,2,70,9,1573.0016,0.1968,0.0354
5060,8,138,5,1428.0099,0.0071,0.1953
6449,8,179,4,1883.6217,0.2405,0.0099
1266,8,11,3,744.0253,0.4524,0.2065
1004,2,139,8,1643.9713,0.2025,0.2445
2568,10,161,5,649.3393,0.4270,0.1855
5419,9,135,6,1185.2658,0.1414,0.2450
5661,8,126,6,553.6232,0.0968,0.1995
7760,6,78,6,1558.6913,0.4693,0.0386
6322,6,105,2,659.4471,0.1259,0.1178
4205,2,103,4,1929.5049,0.2331,0.0385
6455,2,211,5,1971.7228,0.3721,0.0506
4281,3,244,3,888.4301,0.3669,0.2456
8117,6,45,8,1774.9310,0.2672,0.1277
237,8,89,6,1777.3015,0.4415,0.1757
8545,5,211,2,798.7596,0.0589,0.2388
7453,1,5,2,1921.7511,0.0353,0.1674
9826,3,90,9,1576.2030,0.1637,0.2266
136,10,119,8,1820.5124,0.0599,0.1430
5713,7,69,1,159.3097,0.0369,0.0480
3601,5,120,2,1082.4268,0.4472,0.1234
1061,2,156,4,621.4708,0.3124,0.0720
9434,7,43,6,1367.6942,0.0958,0.2423
822,1,219,9,1779.1217,0.1622,0.2461
9322,4,95,10,1333.6216,0.2367,0.0083
6288,1,86,6,501.1154,0.3298,0.0614
8155,7,58,10,889.9127,0.4145,0.1179
7856,5,186,4,1134.8810,0.2621,0.1074
924,6,221,9,1701.0492,0.4433,0.0853
9833,2,162,10,576.1887,0.1060,0.0587
5258,2,58,8,1736.0348,0.4740,0.0926
1411,3,169,7,861.3289,0.1158,0.2055
9088,9,14,3,67.2706,0.2439,0.1553
3055,7,50,1,649.3467,0.0897,0.0060
4560,1,28,3,1943.3903,0.1950,0.1362
4726,6,91,8,1925.2094,0.3117,0.0127
27,10,188,7,917.8559,0.4824,0.1822
3534,9,203,9,1614.9369,0.1553,0.1871
6645,6,221,7,391.3139,0.0082,0.0700
359,4,65,7,1624.3895,0.3392,0.1924
6630,4,102,2,631.1678,0.2651,0.1747
908,5,79,10,58.8671,0.4873,0.0252
5933,5,21,3,1510.2490,0.1256,0.2284
2444,5,176,7,571.0278,0.0317,0.2481
530,7,23,8,227.5174,0.2398,0.0104
1834,5,136,2,1979.5156,0.0472,0.1972
4418,3,154,7,197.4631,0.2377,0.1896
1845,3,163,8,1830.9621,0.2441,0.0461
4312,8,6,6,483.2042,0.4416,0.0250
6625,4,195,6,538.9896,0.2496,0.1128
138,5,26,1,1864.8050,0.0298,0.0194
5208,8,82,8,1941.4185,0.4079,0.0931
2015,2,184,9,503.7424,0.2244,0.2217
3923,5,21,8,1392.5815,0.4746,0.1716
9645,10,25946,1,163.3162,0.1835,0.0034
9774,1,62,5,1776.9560,0.4005,0.0885
3711,4,139,4,841.2676,0.3301,0.0272
85,8,225,9,1344.7507,0.2127,0.2341
3104,4,197,3,904.5826,0.4734,0.0046
1700,3,61,1,1901.6426,0.3002,0.2335
438,5,206,9,1533.0297,0.0142,0.2088
8944,8,96,6,613.2222,0.3260,0.0752
7217,7,131,8,879.2739,0.4402,0.1934
8044,10,225,7,585.4400,0.0658,0.0313
585,10,96,1,1788.2455,0.4212,0.0172
4588,2,58,6,307.5349,0.1445,0.1693
990,6,88,4,1946.1984,0.1242,0.2167
6591,7,133,3,1216.1193,0.3199,0.0744
8802,8,174,9,1309.3361,0.1751,0.2302
4541,2,177,5,1333.6672,0.3988,0.0410
3788,6,121,7,1021.1842,0.1599,0.0746
8474,8,52,4,1138.3055,0.3747,0.2448
8657,8,2,1,629.9749,0.1912,0.1485
5856,6,137,10,1707.0032,0.1157,0.2195
6668,9,86,4,98.5060,0.1081,0.2362
2631,2,189,5,981.1219,0.1574,0.0497
42,3,120,7,1925.9302,0.1756,0.0734
5440,5,62,7,973.8075,0.0630,0.0981
1436,6,46,10,1175.2088,0.4285,0.1306
8527,7,216,9,451.0599,0.3671,0.1635
4273,2,121,6,487.0562,0.0339,0.1314
9455,7,71,6,1519.4779,0.2985,0.2229
2426,7,239,3,287.6213,0.3381,0.1824
2390,4,227,4,656.0346,0.3095,0.0623
5472,3,31,1,1997.6400,0.4041,0.2181
1923,7,138,7,1296.3552,0.0199,0.2334
5714,1,234,4,721.1165,0.2696,0.0720
3941,2,219,2,481.2457,0.3384,0.0565
8008,8,83,5,494.3899,0.3575,0.2277
8433,5,92,9,1326.9192,0.2268,0.0385
8507,1,111,3,1823.0058,0.2039,0.1381
9665,9,73,1,582.3930,0.4986,0.0144
263,9,67,2,889.2019,0.0826,0.1560
2970,1,62,10,931.3652,0.0595,0.1147
4915,6,177,1,925.4959,0.4575,0.0447
3891,9,231,1,523.8796,0.0054,0.2086
8523,6,7,1,1784.2296,0.3469,0.0090
5439,9,206,6,1278.9391,0.2127,0.1231
9833,1,8,7,1669.0109,0.2460,0.1102
742,7,221,2,1077.0888,0.0006,0.1003
4576,8,170,4,1819.8891,0.4436,0.1627
8645,6,185,10,681.4400,0.0762,0.0933
6150,3,22,10,288.6061,0.3476,0.0802
1343,1,214,9,1609.4399,0.3146,0.0810
5287,8,226,3,1905.6709,0.3288,0.1600
3254,5,237,7,713.4634,0.3306,0.1816
589,2,28,3,318.3821,0.1665,0.2374
4178,7,8,1,1562.7864,0.1032,0.1634
545,8,6,8,884.6169,0.4126,0.0561
7639,4,235,6,1466.6317,0.1349,0.2169
7165,6,217,6,1300.8714,0.4781,0.0188
4255,2,155,6,984.8920,0.4049,0.0703
2041,7,132,9,1371.1658,0.1465,0.1853
4199,10,31,7,1111.1843,0.2379,0.2006
4419,8,163,1,1611.6924,0.2540,0.1050
2963,5,35,3,1242.2095,0.3396,0.2258
3487,7,154,2,1015.9766,0.4059,0.1003
6959,10,80,5,508.4196,0.2519,0.2418
7237,9,25649,3,406.8201,0.0271,0.1594
9469,7,160,9,435.3096,0.1052,0.0365
5103,6,236,9,1875.0105,0.2536,0.1308
9992,10,233,1,642.9642,0.2994,0.0269
4382,7,177,4,1986.4523,0.1578,0.1171
1113,7,67,6,553.2820,0.0555,0.0551
7674,3,146,1,1796.5166,0.4689,0.0519
2711,4,35,7,1456.8828,0.1172,0.0704
4740,3,13,10,1616.1759,0.4660,0.1143
3715,9,82,9,1160.2947,0.4620,0.0852
8873,8,3,5,1448.4959,0.4576,0.1818
4768,5,40,3,895.0997,0.1473,0.1274
6750,6,75,5,72.8791,0.4539,0.0348
2266,3,24,6,921.3801,0.4792,0.0582
2320,4,5,5,88.7445,0.1033,0.0668
4520,8,227,10,1285.9117,0.0197,0.1752
1610,9,240,6,48.9763,0.0394,0.2136
9304,4,22,2,632.1124,0.3441,0.0054
8858,8,71,1,795.0683,0.4278,0.1181
