product_id,sku,name,category,subcategory,current_price,currency,is_discontinued,introduced_dt,discontinued_dt
1,SKU-0}9-,Non Ex,Electronics,Laptops,232.6862,AUD,False,2018-05-03,
2,SKU-9-[Z{[,Fugit Explicabo,Beauty,Skincare,12.1474,AUD,False,2018-04-20,
3,SKU-0][]99]0},Ut Ipsum,Toys,Educational,924.9604,EUR,False,2022-08-23,
4,SKU--9AA0[6{9-,Possimus Ipsa,Books,Fiction,948.8162,AUD,False,2016-06-14,
5,SKU----0]},Animi Nesciunt,Books,Non-Fiction,1098.8878,USD,False,2018-10-11,
6,SKU-0{-A-0{,Ea Tempore,Home,Furniture,371.2248,AUD,True,2022-02-26,
7,SKU-}Z[ZZ],Labore Nesciunt,Beauty,Skincare,1923.4845,EUR,False,2021-06-23,
8,SKU---6A,Ducimus Officiis,Electronics,Cameras,1402.8604,EUR,True,2015-08-01,2017-07-08
9,SKU-]}]][Z]],Distinctio Magni,Books,Non-Fiction,1147.7536,AUD,False,2019-12-12,
10,SKU-[{96-,Harum Iure,Home,Decor,1147.1796,EUR,False,2015-10-06,
11,SKU-9,Iure Ex,Electronics,Phones,1567.8836,USD,False,2018-01-17,
12,SKU-9][6,Reiciendis Illo,Beauty,Skincare,1632.2813,EUR,True,2021-04-28,
13,SKU-{],Fugiat Cum,Toys,Board Games,433.0931,EUR,False,2017-12-22,
14,SKU--6-],Omnis Eos,Toys,Board Games,949.9241,USD,False,2016-06-18,
15,SKU-Z,Quis Aspernatur,Home,Decor,1953.5000,EUR,False,2015-07-04,
16,SKU--{9-}}-[,Error Natus,Toys,Outdoor,156.8893,AUD,False,2016-10-14,
17,SKU-9{{A[,Quia Consequatur,Home,Decor,1386.2172,EUR,True,2020-12-29,2021-10-26
18,SKU-{6096]Z,Accusamus Facere,Books,Comics,1091.6022,EUR,False,2017-11-09,
19,SKU-0}Z[-6{[,Illo Quibusdam,Electronics,Audio,1198.7547,AUD,False,2020-01-12,
20,SKU-}{]0Z{6-,Nihil Vel,Clothing,Women,506.9324,AUD,False,2015-02-01,
21,SKU--6A9,Alias Perspiciatis,Electronics,Audio,802.3188,AUD,False,2020-06-24,
22,SKU-06Z,Non Voluptatum,Books,Comics,154.9632,USD,False,2021-12-16,
23,SKU-}6A,Ut Nulla,Books,Fiction,1566.4894,EUR,False,2019-06-27,
