sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2023-11-08T23:29:00Z,744,SHELF-]]A{{9,1.31,21.95,2595
2024-07-24T09:12:00Z,166,SHELF-ZA,19.02,64.92,3919
2024-06-10T01:54:00Z,2466,SHELF-A-{[[[[-],28.85,31.86,2685
2024-05-14T11:11:00Z,4565,SHELF-{Z}-0A{--,-3.47,59.0,3843
2023-10-02T06:01:00Z,4009,SHELF-A40-Z,35.55,74.44,3534
2023-07-13T05:09:00Z,4385,SHELF----,2.65,46.49,2894
2024-05-05T20:54:00Z,546,SHELF-9Z,-4.04,81.41,3481
2024-09-18T05:59:00Z,3923,SHELF--,20.15,83.7,2709
2023-04-26T01:06:00Z,4337,SHELF-]A},13.28,18.84,2878
2024-06-25T08:30:00Z,57,SHELF-}]-A{44,14.17,88.87,2596
2024-08-31T04:19:00Z,4207,SHELF-A]{4A4{Z-,42.73,44.65,4179
2023-03-30T09:01:00Z,3701,SHELF-{A{9{4A,18.52,88.99,2920
2023-02-11T02:18:00Z,1931,SHELF--4,40.65,82.62,3414
2024-10-27T17:54:00Z,4505,SHELF-{044-9}--A,16.92,62.82,3667
2024-08-28T04:46:00Z,3450,SHELF-}-Z-9{-}44,16.94,83.72,4135
2024-11-23T06:54:00Z,3897,SHELF-[]49}}}[,34.14,42.0,3951
2023-08-07T14:21:00Z,4900,SHELF-4,9.73,80.78,3628
2023-04-27T06:01:00Z,3284,SHELF-Z9-44,31.19,37.56,2753
2024-04-02T18:44:00Z,950,SHELF--Z9-,20.93,17.1,2969
2024-05-03T04:06:00Z,4272,SHELF--Z9-,31.35,14.07,2528
2023-10-18T00:13:00Z,3740,SHELF-4,2.56,62.79,2831
2024-04-08T07:21:00Z,4299,SHELF-A-{[[[[-],38.45,63.61,4138
2024-01-30T11:50:00Z,1474,SHELF-}[9{A-}]4,10.82,37.64,3849
2024-03-25T10:38:00Z,1489,SHELF-{-Z9AA-}{[,32.05,34.76,4131
2023-04-22T20:38:00Z,1477,SHELF--]-Z-A900-,7.36,68.88,4010
2024-04-11T05:02:00Z,1496,SHELF-]]A{{9,-0.61,34.45,3613
2023-06-19T03:05:00Z,235,SHELF-}]-A{44,31.76,74.02,3440
2024-03-27T11:15:00Z,721,SHELF-{A{9{4A,19.27,42.79,4143
2024-07-17T13:00:00Z,1924,SHELF-{[[-{-0A,37.72,21.31,3939
