store_id,store_code,name,channel,region,state,latitude,longitude,open_dt,close_dt
1,STORE-A0--5-,Crawford-Marshall,Online,TAS,VIC,-34.568821,144.873071,2012-12-29,2021-09-24
2,STORE-]],Raymond-Johnson,Retail,QLD,SA,-36.528838,143.062423,2001-12-12,
3,STORE-[--}}]],Hanson, Horton and Ortiz,Franchise,TAS,NSW,-41.220304,112.371596,2000-08-27,
4,STORE-{AZ9}--0{5,Patel PLC,Retail,QLD,QLD,-34.674892,141.40628,2000-03-29,
5,STORE-A[}0A,Rodriguez-Huber,Retail,SA,NT,-34.390691,122.502567,2002-11-28,
6,STORE-A-]000]{99,Jenkins, Kennedy and Thomas,Retail,NT,ACT,-37.490029,148.478523,2003-10-11,
7,STORE-{-ZZ]{[-{0,Shaw Ltd,Retail,TAS,VIC,-40.808949,125.017228,2022-04-10,2022-06-18
8,STORE-9},Green Inc,Online,NT,WA,-41.793204,139.659988,2000-03-24,
9,STORE-{,Smith, Moore and Thomas,Franchise,WA,QLD,-42.334472,133.745083,2003-06-19,2012-04-28
10,STORE--0{}}09-[,Alvarez-Barnes,Retail,VIC,WA,-43.83899,115.010808,2005-03-10,
11,STORE-990,Barnes-Burnett,Franchise,SA,QLD,-41.004315,142.92368,2007-04-30,
12,STORE-]0-,Jones-Chapman,Online,SA,SA,-37.112599,147.118718,2022-04-06,
13,STORE-0Z5AZ]]0,Miller Inc,Online,NSW,SA,-38.610804,140.076539,2004-05-13,2016-06-29
14,STORE-[Z-}},Brown-Peters,Retail,NSW,SA,-42.31888,120.897655,2015-04-11,
15,STORE--,Williams, Myers and Montes,Retail,NSW,NT,-43.514652,139.704423,2013-11-23,
16,STORE-0[],Duran and Sons,Online,VIC,NSW,-43.454044,134.07782,2015-03-26,
17,STORE-{-{Z]][A,Johnson-Colon,Franchise,ACT,NSW,-40.112337,149.08005,2023-05-15,
18,STORE-A9A{,Richmond, Castillo and Johnson,Online,SA,SA,-41.67661,144.49011,2024-01-11,
19,STORE-][-9Z[99{{,Church LLC,Online,TAS,NSW,-40.093361,130.733352,2024-02-11,
20,STORE-][}5]-,Russell Group,Franchise,WA,NT,-43.876685,115.313971,2008-05-31,
21,STORE-Z{-},Bates Group,Retail,VIC,ACT,-34.208387,134.354307,2010-10-13,
22,STORE-0Z{],Moore-Terry,Online,ACT,TAS,-38.803104,126.898276,2003-07-01,
23,STORE--{,Nolan, Morrow and Williams,Online,NT,TAS,-37.205452,118.401891,2007-02-07,
24,STORE-0[A[{9-,Russo PLC,Franchise,NT,SA,-34.482827,124.299944,2001-06-18,
25,STORE-9A{990,Best PLC,Franchise,NT,ACT,-39.518586,132.378433,2010-11-20,2019-04-03
26,STORE-0{--][{,Wade Ltd,Online,NSW,ACT,-43.005171,147.066416,2007-11-17,
27,STORE-A[09-ZZA{,Lopez-Lee,Franchise,SA,VIC,-38.855432,150.851708,2006-07-29,
28,STORE-A,Miller LLC,Retail,QLD,QLD,-42.706928,137.187158,2016-12-14,
29,STORE-Z,Miranda LLC,Franchise,NSW,WA,-39.694793,112.68576,2007-09-11,2016-02-07
30,STORE-A-}-Z-]{,Lee, Santiago and Daniel,Online,TAS,NT,-36.629931,134.003115,2001-02-16,
31,STORE---5,Waller-Bullock,Online,SA,NSW,-41.903508,134.228393,2001-03-04,
32,STORE-[9-5909,Holden-Andrade,Franchise,QLD,WA,-40.273824,136.235841,2000-10-02,
33,STORE-}-}5}0A,Cruz, Reed and Hall,Franchise,VIC,QLD,-42.864646,145.438438,2011-09-10,
34,STORE--Z,Jordan PLC,Franchise,ACT,NSW,-40.080302,140.880199,2011-02-16,
35,STORE-05[9,Randolph-Williams,Retail,TAS,NSW,-36.612937,141.63231,2018-08-03,
36,STORE--Z5{[A-[,Miller-Brooks,Online,ACT,ACT,-38.569137,136.543852,2017-06-24,
37,STORE-[{[}999]9],Cooper-Hill,Retail,QLD,QLD,-42.568845,132.594653,2003-03-29,
38,STORE-5,Lopez Inc,Franchise,SA,NT,-36.442631,144.276811,2016-02-20,
39,STORE-[},Rojas PLC,Franchise,TAS,ACT,-42.248808,144.695739,2008-03-06,
40,STORE-A[,Mason, Henry and Mclaughlin,Franchise,SA,ACT,-37.805775,133.878199,2013-03-13,2018-05-17
41,STORE---,Phillips and Sons,Online,TAS,VIC,-35.371285,130.9389,2006-01-23,
42,STORE-}Z{,Morris-Richardson,Franchise,VIC,NT,-43.777423,128.571405,2002-01-29,
43,STORE-}{-}--}]5Z,Lopez Group,Online,SA,QLD,-39.871377,142.529682,2024-03-15,
44,STORE-0ZZ,Harrison-Obrien,Franchise,SA,WA,-38.491698,146.86638,2015-03-19,
45,STORE-][{5-{[]-Z,Harris-Turner,Retail,SA,VIC,-36.804958,133.393576,2023-05-15,
46,STORE-5{-[90-,Curtis, Young and Jordan,Retail,NT,VIC,-38.665552,135.833501,2013-07-03,
47,STORE-0]-[0Z9,Mooney, Estrada and Monroe,Franchise,TAS,TAS,-37.10435,118.332685,2022-07-29,
48,STORE-A0],Gutierrez, Banks and Roberts,Franchise,VIC,WA,-37.066359,119.42457,2000-05-31,
49,STORE-{[-5A9]ZA,Anderson-Holt,Franchise,NSW,NSW,-41.567328,115.319296,2005-09-14,2009-10-17
50,STORE-]9550[---A,Adams, Atkinson and Davis,Franchise,SA,VIC,-200,200,2022-05-04,
